host:thread, samples, min, max, mean, %dev, 50 %ile, 90 %ile, 95 %ile, 99 %ile, 

dhcp37-55.lab.eng.blr.redhat.com:all,40000, 0.016490, 2.177402, 0.162849, 80.850787, 0.120119, 0.292889, 0.457990, 0.732475, 

dhcp37-55.lab.eng.blr.redhat.com:00,5000, 0.047910, 1.681876, 0.163023, 80.279373, 0.120000, 0.296120, 0.457916, 0.724934, 
dhcp37-55.lab.eng.blr.redhat.com:01,5000, 0.016490, 1.892662, 0.163161, 80.863986, 0.120338, 0.297430, 0.457157, 0.743167, 
dhcp37-55.lab.eng.blr.redhat.com:02,5000, 0.050839, 1.892687, 0.162349, 80.623639, 0.119967, 0.290588, 0.457516, 0.735503, 
dhcp37-55.lab.eng.blr.redhat.com:03,5000, 0.050350, 2.177402, 0.162992, 81.766046, 0.120083, 0.291905, 0.459660, 0.737363, 
dhcp37-55.lab.eng.blr.redhat.com:04,5000, 0.054020, 1.798068, 0.162630, 80.810952, 0.120206, 0.294879, 0.454076, 0.720645, 
dhcp37-55.lab.eng.blr.redhat.com:05,5000, 0.048165, 1.798048, 0.162924, 81.551046, 0.119983, 0.292898, 0.457805, 0.743846, 
dhcp37-55.lab.eng.blr.redhat.com:06,5000, 0.064939, 1.934727, 0.162741, 80.284556, 0.120082, 0.290965, 0.458075, 0.725980, 
dhcp37-55.lab.eng.blr.redhat.com:07,5000, 0.019369, 1.892838, 0.162976, 80.665651, 0.120221, 0.290400, 0.456297, 0.731011, 
