host:thread, samples, min, max, mean, %dev, 50 %ile, 90 %ile, 95 %ile, 99 %ile, 

dhcp37-55.lab.eng.blr.redhat.com:all,40000, 0.014294, 2.079048, 0.162621, 89.158428, 0.119553, 0.272254, 0.478083, 0.828131, 

dhcp37-55.lab.eng.blr.redhat.com:00,5000, 0.022642, 2.079048, 0.163033, 88.763824, 0.119734, 0.275487, 0.479688, 0.798852, 
dhcp37-55.lab.eng.blr.redhat.com:01,5000, 0.015393, 1.811618, 0.162533, 88.993680, 0.119605, 0.276461, 0.482152, 0.814936, 
dhcp37-55.lab.eng.blr.redhat.com:02,5000, 0.024346, 1.868040, 0.162929, 89.679019, 0.119617, 0.271272, 0.473191, 0.841597, 
dhcp37-55.lab.eng.blr.redhat.com:03,5000, 0.014294, 1.854069, 0.162916, 89.704331, 0.119604, 0.271009, 0.487411, 0.822475, 
dhcp37-55.lab.eng.blr.redhat.com:04,5000, 0.019825, 1.535641, 0.162512, 88.840750, 0.119412, 0.273281, 0.476749, 0.828147, 
dhcp37-55.lab.eng.blr.redhat.com:05,5000, 0.017646, 1.801890, 0.162050, 88.712095, 0.119136, 0.268839, 0.474839, 0.822389, 
dhcp37-55.lab.eng.blr.redhat.com:06,5000, 0.015306, 1.861144, 0.162930, 89.898019, 0.119880, 0.270439, 0.482147, 0.845708, 
dhcp37-55.lab.eng.blr.redhat.com:07,5000, 0.019463, 1.835061, 0.162069, 88.712333, 0.119349, 0.272233, 0.471798, 0.830898, 
